latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
1.2832,97.6189,311.7,1.5,1.2,2021-01-01,"416",Terra,MODIS,"0",6.03,293,10.5,D,"2"
-2.2008,101.0151,300.6,1.1,1.1,2021-01-05,"353",Terra,MODIS,"39",6.03,274.1,4.4,D,"0"
-0.1586,100.0591,314.3,1.1,1,2021-01-05,"649",Aqua,MODIS,"64",6.03,296.9,6.7,D,"0"
0.1907,102.7631,318.1,1,1,2021-01-05,"649",Aqua,MODIS,"38",6.03,300.8,9.5,D,"0"
0.4207,102.1786,317.2,1,1,2021-01-05,"649",Aqua,MODIS,"31",6.03,296.7,7.5,D,"0"
0.143,100.1839,311,1,1,2021-01-05,"649",Aqua,MODIS,"12",6.03,294.8,4.8,D,"0"
0.9273,101.4786,316.5,1,1,2021-01-05,"649",Aqua,MODIS,"38",6.03,297.7,6.8,D,"0"
3.6598,98.914,313.3,1.1,1,2021-01-05,"650",Aqua,MODIS,"34",6.03,292.4,6.4,D,"0"
3.6635,98.9176,312.7,1,1,2021-01-12,"656",Aqua,MODIS,"41",6.03,290.7,5.5,D,"0"
-2.2109,101.0689,307.9,1.9,1.4,2021-01-16,"630",Aqua,MODIS,"54",6.03,280.8,14.2,D,"0"
5.2188,97.0684,315.8,1,1,2021-01-19,"703",Aqua,MODIS,"62",6.03,286.1,9.9,D,"2"
1.7221,98.805,312.4,1,1,2021-01-21,"351",Terra,MODIS,"40",6.03,291.5,6,D,"2"
0.4141,101.8701,308,1.2,1.1,2021-01-21,"352",Terra,MODIS,"0",6.03,290,6.4,D,"0"
0.9765,101.9345,306.3,1.2,1.1,2021-01-21,"352",Terra,MODIS,"0",6.03,284.7,6.3,D,"0"
-2.0635,101.3958,308.1,1.2,1.1,2021-01-21,"352",Terra,MODIS,"58",6.03,286.9,8.7,D,"2"
-3.1502,102.0474,310.3,1,1,2021-01-21,"648",Aqua,MODIS,"67",6.03,279.2,7.8,D,"0"
-3.2721,101.8339,307.8,1,1,2021-01-21,"648",Aqua,MODIS,"56",6.03,270.9,7.1,D,"0"
-4.3728,103.0178,312.3,1,1,2021-01-21,"648",Aqua,MODIS,"54",6.03,290.4,5.7,D,"0"
-2.3005,100.8996,329.1,1,1,2021-01-21,"648",Aqua,MODIS,"70",6.03,291.9,22.5,D,"0"
-2.1844,100.9431,320.1,1,1,2021-01-21,"648",Aqua,MODIS,"78",6.03,292.7,12.7,D,"0"
-2.9119,101.5229,318.2,1,1,2021-01-21,"648",Aqua,MODIS,"59",6.03,287,11.7,D,"0"
-1.9275,104.2051,307.8,1.1,1.1,2021-01-21,"648",Aqua,MODIS,"61",6.03,282.2,6.8,D,"0"
-0.9992,100.4141,319.3,1.1,1,2021-01-21,"649",Aqua,MODIS,"26",6.03,291.8,11,D,"0"
-0.9026,101.2191,309.7,1,1,2021-01-21,"649",Aqua,MODIS,"61",6.03,288.3,6.4,D,"0"
5.2237,97.067,314.9,1.3,1.1,2021-01-21,"650",Aqua,MODIS,"52",6.03,299,7.5,D,"2"
-2.5805,106.0434,310.3,1.5,1.2,2021-01-23,"340",Terra,MODIS,"62",6.03,290.7,9.1,D,"0"
-2.0123,101.4491,308.7,1,1,2021-01-23,"340",Terra,MODIS,"55",6.03,285.1,5.8,D,"0"
-2.083,101.119,331,1,1,2021-01-23,"340",Terra,MODIS,"86",6.03,291.5,26.9,D,"0"
-2.0844,101.128,308.3,1,1,2021-01-23,"340",Terra,MODIS,"47",6.03,289.9,4.5,D,"0"
-2.1904,101.0972,315.6,1,1,2021-01-23,"340",Terra,MODIS,"49",6.03,297.9,5.4,D,"0"
-2.572,106.0381,314,1.5,1.2,2021-01-23,"340",Terra,MODIS,"69",6.03,290.1,14.3,D,"0"
-3.7911,103.5416,311.9,1.1,1,2021-01-23,"341",Terra,MODIS,"32",6.03,293.6,7.1,D,"2"
-3.4741,105.8372,335.2,1,1,2021-01-23,"635",Aqua,MODIS,"87",6.03,294.5,28.4,D,"0"
-4.5233,103.5018,317.1,1.1,1.1,2021-01-23,"635",Aqua,MODIS,"74",6.03,295.3,12.2,D,"0"
-1.683,104.4608,315.7,1,1,2021-01-23,"636",Aqua,MODIS,"50",6.03,295.1,7.7,D,"0"
-0.823,103.4567,318.8,1.1,1,2021-01-23,"636",Aqua,MODIS,"35",6.03,300,8.8,D,"2"
-0.9513,103.27,314.4,1.1,1,2021-01-23,"636",Aqua,MODIS,"50",6.03,294.8,8.1,D,"0"
-2.1908,100.9543,316.8,1.5,1.2,2021-01-23,"636",Aqua,MODIS,"57",6.03,297.9,12.7,D,"0"
-2.1974,101.016,312.7,1.5,1.2,2021-01-23,"636",Aqua,MODIS,"61",6.03,295.4,8.2,D,"0"
-2.2115,101.0714,317.7,1.5,1.2,2021-01-23,"636",Aqua,MODIS,"65",6.03,298,12.5,D,"0"
-2.0904,101.9264,312.1,1.3,1.1,2021-01-23,"636",Aqua,MODIS,"61",6.03,291.4,10.6,D,"0"
-2.345,101.1953,324.3,1.4,1.2,2021-01-23,"636",Aqua,MODIS,"79",6.03,292.4,28.8,D,"0"
-2.1606,102.9995,312.8,1.1,1.1,2021-01-23,"636",Aqua,MODIS,"61",6.03,295.9,6.9,D,"0"
-2.5571,101.2239,312.4,1.4,1.2,2021-01-23,"636",Aqua,MODIS,"45",6.03,294.2,9.9,D,"0"
-2.5444,102.0335,309.1,1.3,1.1,2021-01-23,"636",Aqua,MODIS,"53",6.03,291.6,7.4,D,"0"
-2.1043,105.4472,332.6,1,1,2021-01-23,"636",Aqua,MODIS,"76",6.03,295.3,26.7,D,"0"
-2.8469,101.5471,316.2,1.4,1.2,2021-01-23,"636",Aqua,MODIS,"71",6.03,295.2,13.1,D,"0"
-2.302,105.8637,317.5,1,1,2021-01-23,"636",Aqua,MODIS,"22",6.03,295.4,8.1,D,"0"
-3.0445,101.7495,313.9,1.4,1.2,2021-01-23,"636",Aqua,MODIS,"66",6.03,297.3,9.2,D,"0"
-3.2196,102.3845,312.2,1.2,1.1,2021-01-23,"636",Aqua,MODIS,"60",6.03,289.1,9.8,D,"0"
-2.8867,105.7005,315.1,1,1,2021-01-23,"636",Aqua,MODIS,"29",6.03,292.7,6.2,D,"0"
-2.8344,106.2526,323.9,1,1,2021-01-23,"636",Aqua,MODIS,"76",6.03,297.8,14.8,D,"0"
-3.5907,102.2856,314.9,1.3,1.1,2021-01-23,"636",Aqua,MODIS,"65",6.03,297.9,8.4,D,"0"
-3.5891,102.297,317.3,1.3,1.1,2021-01-23,"636",Aqua,MODIS,"69",6.03,297.7,11.2,D,"0"
-3.6951,102.5595,313.5,1.2,1.1,2021-01-23,"636",Aqua,MODIS,"62",6.03,291.9,10.5,D,"0"
0.6379,102.8931,311.8,2.1,1.4,2021-01-26,"707",Aqua,MODIS,"46",6.03,294.5,17.2,D,"0"
0.9864,101.9441,317.2,1.8,1.3,2021-01-26,"707",Aqua,MODIS,"40",6.03,296.7,16.9,D,"0"
0.4185,103.0005,317.1,2.1,1.4,2021-01-26,"707",Aqua,MODIS,"29",6.03,296.6,23.9,D,"0"
0.3716,102.8543,316.6,2.1,1.4,2021-01-26,"707",Aqua,MODIS,"41",6.03,293.5,24.1,D,"0"
0.2109,102.8336,316.6,2.1,1.4,2021-01-26,"707",Aqua,MODIS,"37",6.03,294.4,23.9,D,"0"
0.691,102.758,315.5,1.1,1,2021-01-30,"345",Terra,MODIS,"56",6.03,298.5,9.4,D,"0"
0.6924,102.7483,316.9,1.1,1,2021-01-30,"345",Terra,MODIS,"72",6.03,299.1,10.9,D,"0"
0.6938,102.7387,317,1.1,1,2021-01-30,"345",Terra,MODIS,"73",6.03,299.4,11.1,D,"0"
1.3308,102.2347,310.5,1,1,2021-01-30,"345",Terra,MODIS,"31",6.03,292.5,5.1,D,"0"
0.3576,102.8442,314.5,1.1,1,2021-01-30,"345",Terra,MODIS,"31",6.03,294.9,8.8,D,"0"
0.6875,102.7743,316.7,1,1,2021-01-30,"643",Aqua,MODIS,"26",6.03,299.1,8.2,D,"0"
